Kabupaten_Kota,Angka_Harapan_Hidup,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Rata_Lama_Sekolah
tapanuli tengah,68.57,288774.0,72.55,7.5
tapanuli utara,70.47,276803.0,75.81,9.04
tapin,68.03,295353.0,72.18,6.99
tasikmalaya,68.8,237114.0,73.26,6.69
tebo,69.47,294410.0,73.38,7.27
tegal,69.58,258366.0,72.22,5.85
teluk bintuni,68.9,492193.0,67.95,7.28
teluk wondama,68.06,403964.0,67.54,6.43
temanggung,72.87,229548.0,75.0,6.13
timor tengah selatan,67.26,235956.0,66.83,5.94
timor tengah utara,69.19,261995.0,68.94,6.22
tojo una-una,64.22,332065.0,70.0,7.23
toli-toli,64.82,230115.0,70.24,7.65
tolikara,66.24,199192.0,53.06,3.0
toraja utara,73.66,316276.0,71.69,7.56
trenggalek,72.33,243665.0,74.44,6.74
tuban,68.71,256900.0,70.04,6.14
tulangbawang,69.46,295738.0,71.86,6.84
tulungagung,72.02,269290.0,74.79,7.44
wajo,72.11,238194.0,72.55,6.33
wakatobi,68.6,206570.0,69.77,7.53
waropen,66.24,448507.0,64.77,8.5
way kanan,69.96,276091.0,71.08,6.68
wonogiri,72.82,235728.0,73.09,6.12
wonosobo,70.58,258522.0,71.9,5.92
yahukimo,67.44,274781.0,51.14,3.78
yalimo,66.78,246035.0,49.86,1.8
